especie,nombre_cientifico,longitud_cm,envergadura_cm,peso_g,longitud_pico_cm,habitat,migratoria
Ciguena_blanca,Ciconia ciconia,105,195,3500,19.0,humedal,1
Ciguena_blanca,Ciconia ciconia,102,190,3300,18.5,humedal,1
Ciguena_blanca,Ciconia ciconia,108,200,3700,19.4,humedal,1
Aguila_imperial_iberica,Aquila adalberti,80,205,3100,7.2,bosque,0
Aguila_imperial_iberica,Aquila adalberti,83,212,3300,7.7,bosque,0
Aguila_imperial_iberica,Aquila adalberti,85,215,3400,7.9,bosque,0
Buitre_negro,Aegypius monachus,103,275,8200,7.8,montana,0
Buitre_negro,Aegypius monachus,106,282,8600,8.1,montana,0
Buitre_negro,Aegypius monachus,108,288,8900,8.3,montana,0
Grulla_comun,Grus grus,112,205,5000,10.8,humedal,1
Grulla_comun,Grus grus,115,210,5200,11.0,humedal,1
Grulla_comun,Grus grus,118,215,5500,11.2,humedal,1
Milano_real,Milvus milvus,61,160,1050,3.7,dehesa,1
Milano_real,Milvus milvus,63,165,1100,3.8,dehesa,1
Milano_real,Milvus milvus,65,170,1200,4.0,dehesa,1
Abubilla,Upupa epops,27,45,68,5.4,dehesa,1
Abubilla,Upupa epops,28,46,70,5.5,dehesa,1
Abubilla,Upupa epops,29,48,74,5.8,dehesa,1
Rabilargo_iberico,Cyanopica cooki,33,41,78,2.1,dehesa,0
Rabilargo_iberico,Cyanopica cooki,34,42,82,2.2,dehesa,0
Rabilargo_iberico,Cyanopica cooki,35,43,85,2.3,dehesa,0
Cernicalo_vulgar,Falco tinnunculus,33,74,210,1.9,campo_abierto,0
Cernicalo_vulgar,Falco tinnunculus,34,76,220,2.0,campo_abierto,0
Cernicalo_vulgar,Falco tinnunculus,35,78,235,2.1,campo_abierto,0
Buho_real,Bubo bubo,66,160,2300,4.7,montana,0
Buho_real,Bubo bubo,68,165,2500,4.8,montana,0
Buho_real,Bubo bubo,70,170,2700,5.0,montana,0
Gorrion_comun,Passer domesticus,14,23,28,1.2,urbano,0
Gorrion_comun,Passer domesticus,15,24,30,1.3,urbano,0
Gorrion_comun,Passer domesticus,16,25,32,1.4,urbano,0
Golondrina_comun,Hirundo rustica,18,32,20,0.8,urbano,1
Golondrina_comun,Hirundo rustica,19,33,21,0.9,urbano,1
Golondrina_comun,Hirundo rustica,20,34,22,1.0,urbano,1
Lavandera_blanca,Motacilla alba,17,28,24,1.4,ribera,1
Lavandera_blanca,Motacilla alba,18,29,25,1.5,ribera,1
Lavandera_blanca,Motacilla alba,19,30,27,1.6,ribera,1
