mes,comunidad,ventas
enero,extremadura,120
febrero,extremadura,110
marzo,extremadura,130
abril,extremadura,145
mayo,extremadura,155
junio,extremadura,140
julio,extremadura,165
agosto,extremadura,160
septiembre,extremadura,170
octubre,extremadura,180
noviembre,extremadura,195
diciembre,extremadura,210
enero,galicia,210
febrero,galicia,200
marzo,galicia,225
abril,galicia,240
mayo,galicia,250
junio,galicia,235
julio,galicia,270
agosto,galicia,260
septiembre,galicia,285
octubre,galicia,295
noviembre,galicia,310
diciembre,galicia,330
enero,madrid,480
febrero,madrid,450
marzo,madrid,520
abril,madrid,550
mayo,madrid,580
junio,madrid,560
julio,madrid,620
agosto,madrid,610
septiembre,madrid,650
octubre,madrid,680
noviembre,madrid,720
diciembre,madrid,760
enero,melilla,15
febrero,melilla,14
marzo,melilla,16
abril,melilla,18
mayo,melilla,20
junio,melilla,19
julio,melilla,22
agosto,melilla,21
septiembre,melilla,24
octubre,melilla,25
noviembre,melilla,27
diciembre,melilla,30
enero,navarra,55
febrero,navarra,53
marzo,navarra,60
abril,navarra,65
mayo,navarra,70
junio,navarra,68
julio,navarra,75
agosto,navarra,73
septiembre,navarra,80
octubre,navarra,85
noviembre,navarra,90
diciembre,navarra,95
enero,pais_vasco,190
febrero,pais_vasco,180
marzo,pais_vasco,205
abril,pais_vasco,215
mayo,pais_vasco,225
junio,pais_vasco,215
julio,pais_vasco,240
agosto,pais_vasco,235
septiembre,pais_vasco,255
octubre,pais_vasco,265
noviembre,pais_vasco,280
diciembre,pais_vasco,300
enero,la_rioja,30
febrero,la_rioja,28
marzo,la_rioja,34
abril,la_rioja,38
mayo,la_rioja,40
junio,la_rioja,38
julio,la_rioja,43
agosto,la_rioja,42
septiembre,la_rioja,45
octubre,la_rioja,48
noviembre,la_rioja,50
diciembre,la_rioja,55
enero,ceuta,35
febrero,ceuta,32
marzo,ceuta,38
abril,ceuta,42
mayo,ceuta,45
junio,ceuta,43
julio,ceuta,48
agosto,ceuta,47
septiembre,ceuta,50
octubre,ceuta,52
noviembre,ceuta,55
diciembre,ceuta,60
